Kneebody;jazz
Ghost and the City;
Nine Pound Shadow;unsigned
The Legendary Shack Shakers;psychobilly
The Brains;psychobilly
The Growlers;surf rock
Dark Star Orchestra;seen live
Simple Creation;
Clear Conscience;reggae
Two Peace;
Avi Vinocur;seen live
Kan Wakan;Progressive rock
Israel Vibration;reggae
Hunter/Game;electronic
Benjamin K;fantastic
Ottmar Liebert & Luna Negra;
Ottmar Liebert;Flamenco
Michael Manring;bass
Todd Boston;new age
Celso Alberti;
Alan Iglesias & Crossfire;
Gladiators ;
KingHopeton;reggae
Droop Lion;reggae
The Nile Project;seen live
Elephant Revival ;
Dead Horses;folk
DVBBS;House
The Infamous Stringdusters;bluegrass
Horseshoes and Hand Grenades;
Lilan Kane;jazz
Electric Citizen;Psychedelic Rock
Acid King;doom metal
San Francisco Symphony;Classical
The Chieftains;celtic
Soul Mechanix;
Edo Castro;bass
The Hodges;
Danny Barnes;bluegrass
Reva DeVito;jazz
Dumbfoundead;Hip-Hop
Holus Bolus;
Scott Amendola;jazz
Nels Cline;jazz
Jenny Scheinman;jazz
Jeff Parker;jazz
John Shifflett;
Stu Allen;happy hardcore
Phil Lesh;seen live
The Terrapin Family Band;
Scott Padden;
Jason Movrich;
Broun Fellinis;jazz
Hunter/Game;electronic
Chris Robinson Brotherhood;Southern Rock
Alterbeast;Technical Death Metal
Aenimus;deathcore
Aethere;dark ambient
Depths Of Hatred;deathcore
Lucy Kaplansky;folk
Elvin Bishop;blues
Tom Rhodes;comedy
Matthew Stewart;
Adam Traum;
Michael Mcnevin;indie
Deborah Crooks;rock
Dark Star Orchestra;
The Quiet Men ;
Pigeons Playing Ping Pong;funk
Organ Freeman;seen live
LÉON;
Jacob Banks;soul
Tainted Love;tainted love
The Growlers;surf rock
Alec Hutson;
Brothers Prince;
The Legendary Shack Shakers;psychobilly
The Brains;psychobilly
BPos;
Michael Marshall;soul
Equipto;Bay Area
Pop Fiction;
Pacific Dub;reggae
Brewfish;
Tunnel Vision;post-punk
The Bunny The Bear;post-hardcore
Particle;Jam
Newton Crosby;
Wig Party;
Carter Hulsey;acoustic
American Opera;folk
Lemuria;pop punk
Mikey Erg;seen live
Brick + Mortar;
Chuck Loeb;Smooth Jazz
Gerald Veasley ;
The City;rock
Eaves;screamo
Colin O'Brien;
Tim Mahoney;seen live
SisterMonk;
Black Landlord;Hip-Hop
Goose;seen live
Mihali Savoulidis;
That 1 Guy;seen live
Beth Hart;female vocalists
Reed Mathis and Electric Beethoven;
Reverend Billy C. Wirtz;seen live
The Nighthawks;blues
Trombone Shorty & Orleans Avenue ;seen live
Funky Dawgz Brass Band;jazz
June Divided;alternative rock
Mercury Girls;noise
Antibalas ;
Meat Wave;punk
Anna Wise;Hip-Hop
Get The Led Out;
Bouncing Souls;punk
¡MAYDAY!;
Common Kings;reggae
Makua Rothman;reggae
Kill Alters;
Mortified;death metal
Jazz Is Phsh;
Catherine Russell;jazz
Beth Israel;noise
Palm;hardcore
Joe Pug;folk
Vasudeva;post-rock
Tancred;indie
